LSV name	Delta Deltapsi (HS - Control)
NM_169938:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_206526:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_206527:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_001170196:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_169939:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_001275861:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_001275862:t:20963723-20963856	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818
NM_001014746:s:16287158-16287239	-1.1030778074666965;1.1031026160410127
NM_206387:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_206388:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_001259879:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_140673:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_170635:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_001275047:s:16897384-16897628	0.9770072589673319;-0.9770032569922953
NM_080280:s:4295539-4295700	-0.07207887447119263;-0.8816918731831814;0.9676864697128289
NM_001169971:t:14627018-14627126	0.9134528266790869;-0.08260431686017704;-0.8189120005250661
NM_168590:t:14627018-14627126	0.9134528266790869;-0.08260431686017704;-0.8189120005250661
NM_001169416:s:5525905-5526654	-0.8866315297019053;0.8836655467951406
NM_135091:s:5525905-5526654	-0.8866315297019053;0.8836655467951406
NM_136644:t:9437420-9437732	-0.8157246903725818;4.4252496496957186e-06;0.8138333695061599
NM_169936:s:20957925-20958306	0.11064823926136741;0.052612824698313077;-1.4876503536526708;0.007631901139301613;0.8127492611825242;0.06519723551411999;0.35216668113996863
NM_001259449:t:16926337-16926807	3.386028231418437e-07;0.004839506668555602;-0.8537223928386171;0.8038515907096198;3.386028231418437e-07;0.03303177009580033;3.386028231418437e-07;-1.278946846314174e-06;0.021786881324057684
NM_001169264:s:12645904-12645964	-0.2115187882489623;-0.5416112851401925;0.003333608830353926;0.7978204218952619
NM_167329:s:12645904-12645964	-0.2115187882489623;-0.5416112851401925;0.003333608830353926;0.7978204218952619
NM_167328:s:12645904-12645964	-0.2115187882489623;-0.5416112851401925;0.003333608830353926;0.7978204218952619
NM_168590:s:14622796-14623033	-0.2138782610500669;-0.033533339021348474;-0.3477831900737519;-0.006051379887724428;0.7948009436478631;-0.0932595753422216;-0.012823182845009717
NM_079636:s:15300745-15300822	0.7865288600433507;-0.7865288259100518
NM_206494:s:15300745-15300822	0.7865288600433507;-0.7865288259100518
NM_206172:s:19478742-19478865	-0.7830562812896766;0.7830562255110256
NM_206177:s:19478742-19478865	-0.7830562812896766;0.7830562255110256
NM_001169737:s:19478742-19478865	-0.7830562812896766;0.7830562255110256
NM_206178:s:19478742-19478865	-0.7830562812896766;0.7830562255110256
NM_130602:t:1916977-1920318	-0.7623722690575369;-0.02399569074738736;0.7744593960225202
NM_001103740:s:7628925-7629112	-0.02103475360551843;-0.0003322480216875801;-0.7356159077321339;0.7742404554499099
NM_176101:s:7628925-7629112	-0.02103475360551843;-0.0003322480216875801;-0.7356159077321339;0.7742404554499099
NM_176100:s:7628925-7629112	-0.02103475360551843;-0.0003322480216875801;-0.7356159077321339;0.7742404554499099
NM_001259256:s:7628925-7629112	-0.02103475360551843;-0.0003322480216875801;-0.7356159077321339;0.7742404554499099
NM_057430:s:10408352-10408386	-0.7618188214334186;0.761818809627927
NM_176365:s:19993265-19993322	0.2882534981960186;0.7524877173487188;-0.9944804374809102
NM_001272325:s:5641523-5641561	0.7455746650552743;0.049216135055662955;-0.7973346029703594
NM_206403:s:20519216-20519393	0.7320278362530364;-0.08726200734457738;-0.5899884173110989
NM_137035:s:13506430-13506793	0.03207752408314725;0.7223228861646968;-0.741757986714429
NM_001259449:s:16924925-16925284	-3.502289893311594e-07;-1.7851607208577235e-05;0.6993612745244436;2.49976620668126e-07;-0.7795805617965059;-0.0015962186040250417;0.06564543653206287;2.49976620668126e-07;0.0005235936389278955;-3.502289893311594e-07;0.023016790842169135
NM_001169971:s:14622796-14623033	-0.266759718660284;-0.030910807660645356;-0.23953271157137712;-0.0006576660657279163;0.6814027256952979;-0.0515423934151832;-0.018349021845171107
NM_001298639:s:2779174-2782839	5.010353112456961e-09;0.0015443656824923008;0.6773604586546764;-0.6670752904751263
NM_001144325:s:6323767-6324118	-0.6701383763956446;0.6701191848722069
NM_001144326:s:6323767-6324118	-0.6701383763956446;0.6701191848722069
NM_135168:s:6323767-6324118	-0.6701383763956446;0.6701191848722069
NM_206526:s:20957925-20958306	0.11064816305462707;0.052608536236394166;-1.375358622327353;0.007631824932561276;0.6665248381666203;0.06485009008489329;0.4343180666951887
NM_001170196:s:20957925-20958306	0.11064816305462707;0.052608536236394166;-1.375358622327353;0.007631824932561276;0.6665248381666203;0.06485009008489329;0.4343180666951887
NM_206527:s:20957925-20958306	0.11064816305462707;0.052608536236394166;-1.375358622327353;0.007631824932561276;0.6665248381666203;0.06485009008489329;0.4343180666951887
NM_001275861:s:20957925-20958306	0.11064816305462707;0.052608536236394166;-1.375358622327353;0.007631824932561276;0.6665248381666203;0.06485009008489329;0.4343180666951887
NM_169938:s:20957925-20958306	0.11064816305462707;0.052608536236394166;-1.375358622327353;0.007631824932561276;0.6665248381666203;0.06485009008489329;0.4343180666951887
NM_001299866:s:23922922-23923029	0.6641785838332637;-0.664178469228677
NM_079939:s:18285237-18287739	-0.1722742790746086;-0.08010891250643055;0.6610081937134971;-0.007759599222279259;-0.3494494469259519
NM_001169718:s:18285237-18287739	-0.1722742790746086;-0.08010891250643055;0.6610081937134971;-0.007759599222279259;-0.3494494469259519
NM_001169720:s:18285237-18287739	-0.1722742790746086;-0.08010891250643055;0.6610081937134971;-0.007759599222279259;-0.3494494469259519
NM_001274145:s:18285237-18287739	-0.1722742790746086;-0.08010891250643055;0.6610081937134971;-0.007759599222279259;-0.3494494469259519
NM_001258921:s:2752800-2752891	0.6481198960971005;-1.5150493753201562e-24;-0.6477999177449791
NM_001299879:t:24027003-24027518	0.6479400872742647;0.024447847643115694;5.598842189777854e-06;-0.03176670845940018;-0.5984907952099275
NM_001275344:t:5177294-5177885	0.08093180046101293;0.6399591272240758;-0.02161764028334991;-0.015537099348336879;-0.6410981826862663
NM_167881:s:1501346-1501406	-0.2318043525651073;-0.4059989952162188;0.6399112215524595
NM_001169849:s:1501346-1501397	-0.2318043525651073;-0.4059989952162188;0.6399112215524595
NM_165745:s:10101036-10101177	-0.40879055569100625;-0.18726685472380825;0.6347031753120811
NM_001272973:s:2109726-2109878	0.0706255770759534;0.6255153903963346;-0.12284125410541033;0.11624311970003517;-0.045202831152373994;-0.6829698831002854
NM_001274341:s:1635186-1635237	0.2095093146113975;2.7447665015364265e-05;-0.6243791614922043;-0.1946482976865741;0.6243862978265478
NM_001169849:t:1499043-1499592	-0.06341342601942293;-0.5463581640401789;0.6183291905045311
NM_167881:t:1499043-1499592	-0.06341342601942293;-0.5463581640401789;0.6183291905045311
NM_164840:t:8945358-8945895	-0.13831902157299433;-0.40006868214047714;-0.060963749493231155;0.6159364342273707
NM_001275862:s:20957925-20958306	0.11064815481140873;0.05260801210660928;-1.1123793614738782;0.007631816689342929;0.6129752437615942;0.06479152075660348;0.19142519714900555
NM_167306:t:11804897-11805042	-0.6155721661390054;-0.002737880974068112;0.6073958803205503
NM_001274145:t:18280246-18281513	-0.5392018924260384;-0.05100587774534645;0.6051777915248175;-0.00016935844128124366
NM_001169720:t:18280246-18281513	-0.5392018924260384;-0.05100587774534645;0.6051777915248175;-0.00016935844128124366
NM_001169718:t:18280246-18281513	-0.5392018924260384;-0.05100587774534645;0.6051777915248175;-0.00016935844128124366
NM_079939:t:18280246-18281513	-0.5392018924260384;-0.05100587774534645;0.6051777915248175;-0.00016935844128124366
NM_001274340:s:1635186-1635237	6.798372835443887e-05;0.18737216008953533;-0.5997771427953362;-0.18499312821273367;0.6047972206321444
NM_001260393:s:26598577-26598712	0.15912690609728464;0.6023461431260821;-0.7396826879829728
NM_170485:s:30455651-30455867	-0.5971129972638889;0.5971130440090062
NM_001260439:s:30455651-30455867	-0.5971129972638889;0.5971130440090062
NM_057582:s:9049157-9049247	-0.590163376266245;0.590163378819171
NM_079499:s:4627906-4628349	-0.4029199062315093;-0.11731831457286923;0.5769896282857117
NM_169011:s:4627906-4628349	-0.4029199062315093;-0.11731831457286923;0.5769896282857117
NM_001014459:s:2109819-2109878	0.0770240196765831;0.5688960953660656;-0.15197381584366054;-0.572376615010865
NM_001272972:s:2109819-2109878	0.0770240196765831;0.5688960953660656;-0.15197381584366054;-0.572376615010865
NM_001202216:s:20828018-20828402	-0.11194684591445672;0.5672918536224113;-0.11960159041440292;-0.2667452710653392
NM_079465:s:20828018-20828402	-0.11194684591445672;0.5672918536224113;-0.11960159041440292;-0.2667452710653392
NM_165502:s:6992681-6992777	0.5669733445655669;0.3508962761813662;-0.911661966037841
NM_132645:t:13318415-na	0.08202546131563343;0.5560109158902079;-0.4483922866663787;-0.1860814518704222
NM_169635:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_169633:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_169638:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_169634:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_001275661:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_206495:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_169636:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_169637:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_001275662:s:15299277-15299347	-0.5242476535913275;0.003994115154152196;0.5517587688276626
NM_001260191:t:15300745-15300822	-0.5466257534709984;0.5466257887392441
NM_206494:t:15300745-15300822	-0.5466257534709984;0.5466257887392441
NM_079636:t:15300745-15300822	-0.5466257534709984;0.5466257887392441
NM_001170148:t:15300745-15300822	-0.5466257534709984;0.5466257887392441
NM_001014689:t:330856-332002	-0.46522400952759724;-0.07317039590693611;0.5410027880760572;0.0065481913968642586
NM_001038714:t:331398-332002	-0.46522400952759724;-0.07317039590693611;0.5410027880760572;0.0065481913968642586
NM_142026:s:13382106-13382258	-0.42226457948235957;-0.12185413036776106;0.5402107695238578
NM_169522:s:13382204-13382258	-0.42226457948235957;-0.12185413036776106;0.5402107695238578
NM_165915:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_001316418:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_136955:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_001299425:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_001299426:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_001201984:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_165917:t:12585255-12586072	-0.3402916912339582;0.5383294687666744;-0.16944108305684927
NM_137322:s:16880713-16880996	-0.533835782060011;0.533835872291024
NM_001297834:s:934541-934681	0.531314766394638;-0.5313147237532326
NM_166865:s:934541-934681	0.531314766394638;-0.5313147237532326
NM_167906:s:1635186-1635237	0.5223970682078357;-0.4484826197420749;-0.09753199131825038;0.06901133575070749
NM_001259618:s:1635186-1635237	0.5223970682078357;-0.4484826197420749;-0.09753199131825038;0.06901133575070749
NM_001300602:t:25597099-25597214	-0.4989169105481547;0.49891689780224135
NM_170230:t:25597099-25597214	-0.4989169105481547;0.49891689780224135
NM_143147:t:25597099-25597214	-0.4989169105481547;0.49891689780224135
NM_001300601:t:25597099-25597214	-0.4989169105481547;0.49891689780224135
NM_001272673:s:16289226-16289322	-0.0015250477242122694;-0.48938841712969866;0.4904498044107669
NM_001259256:t:7634216-7634545	-0.4345053491824668;-0.00031681523347346893;-0.05070357137640413;0.4811098484263028
NM_001103740:t:7634216-7634545	-0.4345053491824668;-0.00031681523347346893;-0.05070357137640413;0.4811098484263028
NM_176100:t:7634216-7634545	-0.4345053491824668;-0.00031681523347346893;-0.05070357137640413;0.4811098484263028
NM_176101:t:7634216-7634545	-0.4345053491824668;-0.00031681523347346893;-0.05070357137640413;0.4811098484263028
NM_001273583:s:16746227-16746616	-0.478517575767318;0.4785175442453746
NM_001259117:s:16746227-16746616	-0.478517575767318;0.4785175442453746
NM_001273584:s:16746227-16746616	-0.478517575767318;0.4785175442453746
NM_001103697:s:16746227-16746616	-0.478517575767318;0.4785175442453746
NM_001259118:s:16746227-16746616	-0.478517575767318;0.4785175442453746
NM_001273248:t:7223328-7223697	0.4780490451665085;-0.0004667475863713474;-0.4528625159658053
