Gene ID	LSV ID	Ime4 delta deltapsi	Mcherry delta deltapsi	Ime4 delta deltapsi - Mcherry deltadeltapsi
NM_078639	NM_078639:s:16274284-16274501	1.7576452458511103;-1.7545840832133375	-0.31589116132191875;0.3158911914707459	2.073536407173029;-2.0704752746840835
NM_057430	NM_057430:s:10408352-10408386	0.9292139718454105;-0.9292139481453603	-0.7618188214334186;0.761818809627927	1.6910327932788292;-1.6910327577732873
NM_001170196	NM_001170196:t:20963723-20963856	0.08289999625731237;-1.1928866428662522e-06;-0.06575180113168921;-1.1928866428662522e-06;-0.010478633861290377	-1.214477788676357;0.006347736470832649;1.1797422422214674;0.00021579543343575337;0.020721134134419818	1.2973777849336692;-0.006348929357475515;-1.2454940433531565;-0.00021698832007861963;-0.031199767995710195
NM_169522	NM_169522:s:13382204-13382258	0.6418552048485101;-0.01851482255747628;-0.6527942476572454	-0.42226457948235957;-0.12185413036776106;0.5402107695238578	1.0641197843308696;0.10333930781028478;-1.193005017181103
NM_142026	NM_142026:s:13382106-13382258	0.6418552048485101;-0.01851482255747628;-0.6527942476572454	-0.42226457948235957;-0.12185413036776106;0.5402107695238578	1.0641197843308696;0.10333930781028478;-1.193005017181103
NM_206050	NM_206050:t:7473722-7473843	0.012478944718769952;0.9214702292431816;0.18347529459699524;0.002229772262383069;-1.1606096423867935	-1.5150493753201562e-24;0.08869310626458615;-0.08339236872510927;-1.5150493753201562e-24;-0.0015227841772197381	0.012478944718769952;0.8327771229785954;0.26686766332210454;0.002229772262383069;-1.159086858209574
NM_078573	NM_078573:s:11689201-11689543	0.7611250601215989;-0.7616171180611595	-0.3728040221390092;0.37280400705011396	1.133929082260608;-1.1344211251112735
NM_001275344	NM_001275344:t:5177294-5177885	-0.021431483871531425;-0.085678851566005;-0.00021130499166588395;-0.34301641226632945;0.42945097288635276	0.08093180046101293;0.6399591272240758;-0.02161764028334991;-0.015537099348336879;-0.6410981826862663	-0.10236328433254435;-0.7256379787900807;0.021406335291684026;-0.3274793129179926;1.070549155572619
NM_001298098	NM_001298098:t:9020867-9021291	-0.7470418204156427;-0.07005656102084024;0.8360366869021538	0.0775072811555573;0.08554103998053902;-0.19867801253526987	-0.8245491015712;-0.15559760100137926;1.0347146994374237
NM_136264	NM_136264:s:21380133-21380365	0.00010052848621867938;8.41321042704075e-05;0.17390123120258416;9.843028437900875e-09;1.4996126995565813e-06;0.023015833406823914;0.00028998368598128133;0.003091724950852248;0.4018733839386637;0.3326818737918232;0.05213953252126944;0.06951163747607393;-0.3792895614107081;-0.8752742077647426	-1.5150493753201562e-24;-1.5150493753201562e-24;-5.282324239557883e-08;-0.023538444618073622;-1.5150493753201562e-24;-8.093532135087533e-09;-1.5150493753201562e-24;-1.5150493753201562e-24;-0.0006115854932711679;-1.5150493753201562e-24;-1.5150493753201562e-24;-1.5150493753201562e-24;-1.4158413530542312e-05;0.14945316263872357	0.00010052848621867938;8.41321042704075e-05;0.17390128402582655;0.02353845446110206;1.4996126995565813e-06;0.02301584150035605;0.00028998368598128133;0.003091724950852248;0.40248496943193485;0.3326818737918232;0.05213953252126944;0.06951163747607393;-0.37927540299717755;-1.0247273704034663
NM_001258921	NM_001258921:s:2752800-2752891	-0.3448346262505344;1.1581149714418402e-10;0.3451387390731222	0.6481198960971005;-1.5150493753201562e-24;-0.6477999177449791	-0.9929545223476349;1.1581149714418553e-10;0.9929386568181013
NM_170638	NM_170638:s:17401561-17401842	-0.00047389738398802213;-0.9705806117220516;0.9734744232472012	0.00011921571328853958;-1.5150493753201562e-24;-0.018871577723272116	-0.0005931130972765617;-0.9705806117220516;0.9923460009704733
NM_079161	NM_079161:t:1625075-1625678	0.8777180927222263;0.003147857761488193;0.0016756654692871888;-0.9163104097401574	-0.03844329961596417;-0.022305314965403538;0.011430813575863754;0.051232128285175364	0.9161613923381905;0.02545317272689173;-0.009755148106576565;-0.9675425380253327
NM_001272260	NM_001272260:s:2379042-2379216	-0.5723886083488934;0.5739683851275839;0.031485649960142775	0.2987915592089012;-0.33303524652371547;0.05328275059075069	-0.8711801675577946;0.9070036316512993;-0.021797100630607913
NM_141009	NM_141009:s:20845928-20846022	-0.5851271412848698;0.33859278369374374;0.21802777471126233	0.3089626301763829;-0.3496028618876752;0.08240114071681237	-0.8940897714612527;0.6881956455814189;0.13562663399444996
